#########返回字段说明
|名称|描述|类型|
|----|----|---|
|ut_id|主键ID|long|
|ut_nd|nd|String|
|ti_id|任务主键ID|long|
|ti_nd|任务nd|String|
|ui_id|用户ID|long|
|ui_nd|用户nd|String|
|ut_code|提交的验证码|String|
|ut_sign|提交的验证信息|String|
|ut_sate|是否验证成功（0:没有1:成功）|int|
|ut_money|获取金额|int|
|ctime|创建时间|java.util.Date|
|note|备注|String|
|type|任务类型（0:普通任务1:游戏任务）|int|
|deal_state|是否已经处理（0:没有1:处理成功2:处理失败）|int|

